balance,n_coins,estimated_total_balance,buy_or_sell_ratio,price
1000,0,1000,0,4469.93
765.3885068157757,1.6806029090136245,999.7653885068158,0.2346114931842243,139.46
540.9914453613238,3.3068101226008384,996.8352207618493,0.2931805997296781,137.85
520.5627221110338,3.4492764020217086,1014.6715667006436,0.03776163823929923,143.25
453.71682297609124,3.9180987358872494,1011.8108069158711,0.12841084521738894,142.44
413.5533152549567,4.201836407999642,1007.7350017101861,0.0885210899998984,141.41
247.1099951581884,5.37910118268579,1006.8542462007296,0.40247125088129343,141.24
369.9599574802618,4.625867474139112,1125.1790813082132,-0.14002965978241513,163.26
398.54630113469517,4.446979260754226,1109.8851036849412,-0.038671279362186686,159.96
479.08174135036313,3.9345782166307917,1098.1089321728855,-0.11522451850529405,157.33
446.7557181096722,4.130487566409063,1127.6252885565423,0.067474963979164,164.84
548.5741600250288,3.5148777435192695,1130.4973192420791,-0.14904047354995154,165.56
458.93595355565606,4.028668369848395,1161.0925637365328,0.1634021669290493,174.29
561.8884565493854,3.452004732937861,1178.7962223727106,-0.14314001152997236,178.71
634.0972436505891,3.037976389660435,1164.467161757508,-0.11993852132556708,174.58
626.5000159465012,3.080826606893858,1172.1760245595415,0.011981171311121986,177.12
774.7897898998616,2.1760465741892014,1131.7919908613421,-0.2936809331236175,164.06
834.224433833167,1.8114991595361571,1129.8610966694678,-0.1675273953127016,163.2
839.1174334342745,1.7814488650481142,1129.4757839484666,-0.0165886328623732,162.99
844.5119443595063,1.7491546790779702,1136.9880982481336,-0.018128045437482608,167.21
848.855699753527,1.721963737313739,1124.214920987367,-0.015545189964883082,159.91
853.5752779885364,1.6934025708936495,1133.680997240055,-0.016586392501299042,165.41
589.9428170987769,3.282354778609304,1133.993121653269,0.308856720301241,165.75
532.2721669551767,3.614724569156533,1158.84852377277,0.09775633921133788,173.34
583.0319728308243,3.320443227258352,1156.3397004492513,-0.08141182993835926,172.66
759.0795832167613,2.3011602483691327,1156.9271785573005,-0.30697196402024574,172.89
786.4314396232447,2.1387589455509017,1147.0048102536712,-0.07057366080147048,168.59
963.2526265740269,1.1007681812070242,1150.9556168334486,-0.4853238680792574,170.52
1050.2912261132067,0.5856885166226655,1149.3604386999305,-0.4679274649995414,169.15
1067.3300464350727,0.48218156069315804,1146.7839240060914,-0.17672696833185936,164.78
1094.8778878198236,0.3039306440703242,1141.8959584575027,-0.3696759294706126,154.7
855.9206960741145,1.8154752179572577,1142.6386972461041,0.21825008469349289,157.93
741.9787499599418,2.5299367053289536,1145.0482658529506,0.13312208319858934,159.32
855.3132388675579,1.8112749997388071,1141.241110326326,-0.2840631167081719,157.86
576.2179183491041,3.6084660864858438,1136.035347006518,0.32630772895317084,155.14
427.93149596410456,4.523746506396963,1160.099868024453,0.25734434432349534,161.85
304.03120337911827,5.296383162404462,1152.511785996313,0.2895330064590039,160.2
282.37545911449723,5.4300754657066275,1161.0702709751436,0.07122868976582296,161.82
508.95079393260323,4.08086584669972,1194.9443427628262,-0.24846977312337068,168.1
317.7213805902258,5.247796296452545,1176.8381122824721,0.37573261624128756,163.71
385.9628709080909,4.828846280396225,1173.3062569266954,-0.07983351341962841,163.05
249.91233331179993,5.614569988678655,1221.1206499534337,0.3524964390387919,172.98
198.8994596168532,5.915994610558656,1199.1166684240052,0.20412307395530244,169.07
192.67632538730328,5.9523763468374495,1209.8183955348866,0.03128783879824381,170.88
125.38329132320584,6.3456013177665165,1210.2272926085695,0.3492542943655901,170.96
130.224807191507,6.317574702970473,1222.6598248291612,-0.004416699599070832,172.92
140.97829945803767,6.260980294331915,1331.816751439968,-0.00895824921736939,190.2
106.33910840159143,6.444978549584692,1318.4462242219845,0.2457058369239064,188.07
60.69867126593867,6.677807006401917,1368.413617329626,0.42919710181592724,195.83
37.50602150365752,6.784874737975479,1505.7529148015515,0.38209485114867425,216.4
33.54839123761229,6.800813110287739,1720.558091375589,0.10551986340804725,248.06
29.626228006647572,6.815635281907689,1831.3394147789452,0.11691062033899985,264.35
476.8295882478181,4.98332792137221,1694.3064327182626,-0.26883882202432324,244.31
492.583687333709,4.915811249903931,1640.7697209737703,-0.013548510660660455,233.57
668.8461560577847,4.23555174559847,1767.42121231366,-0.13838194139751708,259.37
953.8527724234157,3.09657095561961,1729.4818653870157,-0.26890966239816905,250.48
1078.6278196818496,2.6035772820232426,1738.244124082438,-0.15920632230360807,253.35
1100.873965786964,2.512193440429209,1713.0452633507537,-0.03509933898448331,243.68
698.0913089387824,4.15704433439697,1715.029064462313,0.3658753584569064,244.63
756.3415627036755,3.9227228333231055,1732.4719125477973,-0.05636733270679814,248.84
509.08849709796743,4.9100746842249015,1737.441880850511,0.32690662234911255,250.17
637.125913421145,4.425241766104672,1806.938574290915,-0.09874247324137488,264.35
457.20029522908743,5.089245063385298,1834.8589338874876,0.282401978010782,270.7
342.9562655708284,5.510263897783265,1836.6786029819157,0.24987741882584583,271.08
481.48586229893823,4.994615136095391,1824.637764697711,-0.09357968533872121,268.92
417.2088635473296,5.246835261602509,1753.0006527987125,0.13349716738245834,254.59
333.37510680521723,5.559451622130207,1822.7521963738996,0.2009395390819687,267.9
312.47574058003033,5.638437990907726,1802.8840547166694,0.06269024230833731,264.33
639.9757602237288,4.419157864857257,1828.1547353478995,-0.2162443087991074,268.87
492.96184040343076,5.006578494808772,1744.70659567552,0.22971795020627583,250.02
712.8073840271379,4.09518278026831,1701.630218150724,-0.182039633551231,241.46
774.8810298519894,3.842207527412443,1718.6040427350338,-0.06177386124857953,245.62
