https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1616025600000,2021-03-18 00:00:00,NEO/USDT,46.42800000,48.00100000,46.11600000,47.05400000,123975.62500000,5833030.70232700,8392
1615939200000,2021-03-17 00:00:00,NEO/USDT,40.81300000,46.56300000,40.12000000,46.42800000,2522575.52600000,109868136.58306500,228897
1615852800000,2021-03-16 00:00:00,NEO/USDT,38.59600000,40.94500000,37.43000000,40.79300000,949922.23000000,37509923.19818100,100155
1615766400000,2021-03-15 00:00:00,NEO/USDT,39.56100000,40.96000000,37.23300000,38.59700000,1158234.06200000,45302211.66705500,113758
1615680000000,2021-03-14 00:00:00,NEO/USDT,42.08000000,42.93900000,39.55000000,39.61600000,815769.69800000,33317672.19060800,71465
1615593600000,2021-03-13 00:00:00,NEO/USDT,39.88800000,42.50000000,38.36000000,42.04400000,1043969.71600000,42846678.17431700,91351
1615507200000,2021-03-12 00:00:00,NEO/USDT,41.96700000,42.06400000,38.43000000,39.89500000,1004438.47200000,40346498.04900000,84792
1615420800000,2021-03-11 00:00:00,NEO/USDT,40.86800000,42.66200000,39.01500000,41.93700000,1087173.78600000,44329637.08112300,94375
1615334400000,2021-03-10 00:00:00,NEO/USDT,42.58600000,43.07900000,39.82400000,40.86700000,1195824.04400000,49526594.05387200,97591
1615248000000,2021-03-09 00:00:00,NEO/USDT,40.11700000,43.07900000,39.64000000,42.58700000,1274584.31000000,53136895.21935100,116849
1615161600000,2021-03-08 00:00:00,NEO/USDT,39.27900000,40.15700000,37.82500000,40.11300000,892016.51500000,34709599.92527100,76169
1615075200000,2021-03-07 00:00:00,NEO/USDT,38.10000000,39.39000000,38.02600000,39.27900000,616873.28900000,23923024.75931200,52214
1614988800000,2021-03-06 00:00:00,NEO/USDT,37.40400000,38.58800000,36.56400000,38.07900000,585585.34100000,22113502.62580700,43164
1614902400000,2021-03-05 00:00:00,NEO/USDT,37.83300000,38.12000000,35.70100000,37.40800000,898071.55800000,33357059.63720200,58752
1614816000000,2021-03-04 00:00:00,NEO/USDT,39.60000000,41.10000000,36.73300000,37.82700000,1147760.27400000,44457163.54042800,79712
1614729600000,2021-03-03 00:00:00,NEO/USDT,37.71600000,41.39600000,37.33500000,39.60000000,1478286.73900000,59261942.58087300,109036
1614643200000,2021-03-02 00:00:00,NEO/USDT,38.12000000,39.45200000,36.08400000,37.73300000,1189195.27100000,45098781.68632200,75174
1614556800000,2021-03-01 00:00:00,NEO/USDT,35.22900000,38.74600000,35.00900000,38.12000000,1272291.54600000,47389597.63252500,83905
1614470400000,2021-02-28 00:00:00,NEO/USDT,37.25800000,37.50000000,31.85800000,35.26100000,1742859.09000000,59583776.32092500,96993
1614384000000,2021-02-27 00:00:00,NEO/USDT,37.66000000,39.56900000,36.34900000,37.28000000,1063358.92000000,40647976.51445100,64667
1614297600000,2021-02-26 00:00:00,NEO/USDT,38.46900000,39.90200000,35.16800000,37.68000000,1891468.34400000,71458162.85802200,100127
1614211200000,2021-02-25 00:00:00,NEO/USDT,40.66000000,43.00000000,38.02200000,38.54100000,1463229.35000000,59938571.09732500,82714
1614124800000,2021-02-24 00:00:00,NEO/USDT,38.70800000,44.28900000,36.84100000,40.61900000,2410810.09500000,99306897.03285400,135520
1614038400000,2021-02-23 00:00:00,NEO/USDT,46.90700000,47.54800000,31.30100000,38.65000000,4544604.37600000,176681998.53123800,263363
1613952000000,2021-02-22 00:00:00,NEO/USDT,54.85700000,55.44400000,40.42500000,46.87900000,3908613.86300000,188389469.33332100,258632
1613865600000,2021-02-21 00:00:00,NEO/USDT,43.86600000,54.98400000,42.70000000,54.90000000,4091562.13000000,208971066.54215900,266700
1613779200000,2021-02-20 00:00:00,NEO/USDT,47.82400000,49.89200000,40.87700000,43.86600000,2216943.88700000,104609626.57436200,160417
1613692800000,2021-02-19 00:00:00,NEO/USDT,43.80800000,49.78000000,41.65400000,47.84700000,2520631.54900000,117337582.27811200,160787
1613606400000,2021-02-18 00:00:00,NEO/USDT,42.54700000,44.97700000,41.01000000,43.78300000,1536870.81700000,66944136.94637200,101587
1613520000000,2021-02-17 00:00:00,NEO/USDT,40.94600000,43.95100000,38.64200000,42.55100000,1525803.75000000,63481437.29955700,98767
1613433600000,2021-02-16 00:00:00,NEO/USDT,41.60200000,44.86000000,39.40900000,40.94500000,1873093.20700000,78604886.26216500,105706
1613347200000,2021-02-15 00:00:00,NEO/USDT,43.93500000,45.47400000,36.30000000,41.57500000,3477834.17300000,145148398.75632600,202972
1613260800000,2021-02-14 00:00:00,NEO/USDT,42.45800000,47.44400000,40.40000000,43.94200000,3460516.77500000,152657967.72158000,216181
1613174400000,2021-02-13 00:00:00,NEO/USDT,37.57100000,43.60000000,35.50000000,42.41500000,3470052.64300000,137028463.18960600,207090
1613088000000,2021-02-12 00:00:00,NEO/USDT,36.27400000,38.40000000,35.01200000,37.57200000,2105044.82500000,77543891.31880800,113945
1613001600000,2021-02-11 00:00:00,NEO/USDT,33.43400000,38.80000000,32.71000000,36.29700000,3315072.80100000,121118777.98097400,179652
1612915200000,2021-02-10 00:00:00,NEO/USDT,31.07900000,36.50000000,29.61000000,33.39000000,5022362.53400000,165401202.65978300,256152
1612828800000,2021-02-09 00:00:00,NEO/USDT,27.38500000,32.08800000,26.43200000,31.06500000,4176764.19500000,124369982.32788600,223009
1612742400000,2021-02-08 00:00:00,NEO/USDT,24.51200000,27.77700000,23.96500000,27.38000000,2156817.58500000,55778287.95572600,112079
1612656000000,2021-02-07 00:00:00,NEO/USDT,24.83800000,25.62900000,23.37100000,24.52600000,1455011.62600000,35691899.20558400,67880
1612569600000,2021-02-06 00:00:00,NEO/USDT,26.07900000,26.30000000,24.36000000,24.83400000,1418905.25800000,35554982.93706600,76641
1612483200000,2021-02-05 00:00:00,NEO/USDT,23.73100000,26.46000000,23.58900000,26.07000000,1861334.64900000,46605115.97437400,96088
1612396800000,2021-02-04 00:00:00,NEO/USDT,24.66900000,25.05100000,22.92200000,23.75000000,1314825.18100000,31344236.81189600,68426
1612310400000,2021-02-03 00:00:00,NEO/USDT,23.74200000,24.97200000,23.46900000,24.66200000,1320450.69900000,32077156.74645500,64466
1612224000000,2021-02-02 00:00:00,NEO/USDT,23.09200000,23.85600000,22.47300000,23.74000000,979287.40700000,22744721.70948100,45222
1612137600000,2021-02-01 00:00:00,NEO/USDT,22.27700000,23.98800000,21.78800000,23.11900000,1692486.64800000,38455647.47563100,79673
1612051200000,2021-01-31 00:00:00,NEO/USDT,22.86400000,24.81900000,21.55400000,22.27600000,1404507.66400000,31650732.38484300,59633
1611964800000,2021-01-30 00:00:00,NEO/USDT,22.56600000,22.90000000,21.81000000,22.86400000,877622.07300000,19660104.36796600,40489
1611878400000,2021-01-29 00:00:00,NEO/USDT,22.24100000,23.88800000,21.83200000,22.54900000,1604427.23200000,36688554.89532200,74449
1611792000000,2021-01-28 00:00:00,NEO/USDT,21.02200000,22.93600000,20.65200000,22.24500000,948203.36200000,21084970.27107600,44882
1611705600000,2021-01-27 00:00:00,NEO/USDT,23.14000000,23.19100000,20.33300000,21.03300000,1084209.79300000,23252520.03928200,52513
1611619200000,2021-01-26 00:00:00,NEO/USDT,23.30900000,24.00000000,22.31700000,23.15800000,894487.54300000,20683023.03046500,37587
1611532800000,2021-01-25 00:00:00,NEO/USDT,24.40800000,25.24900000,23.09300000,23.31300000,986933.82200000,24088923.61845100,48636
1611446400000,2021-01-24 00:00:00,NEO/USDT,24.40900000,25.61400000,23.59700000,24.40100000,1183062.31300000,29219940.16935200,58453
