https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1614211200000,2021-02-25 00:00:00,BNB/USDT,254.38260000,265.40140000,231.50000000,234.91460000,6871992.79400000,1718504824.02123870,1774378
1614124800000,2021-02-24 00:00:00,BNB/USDT,231.36460000,281.00000000,213.02570000,254.50560000,11777825.18700000,2968825220.66055430,2798601
1614038400000,2021-02-23 00:00:00,BNB/USDT,267.17210000,269.44400000,186.10000000,231.36460000,15879767.55900000,3533975184.11426700,3227858
1613952000000,2021-02-22 00:00:00,BNB/USDT,294.91670000,296.00000000,220.50000000,267.51470000,12604399.40200000,3304868176.03923270,2806150
1613865600000,2021-02-21 00:00:00,BNB/USDT,253.01000000,309.49950000,249.70440000,295.25970000,10646422.30700000,3016515097.58841310,2525329
1613779200000,2021-02-20 00:00:00,BNB/USDT,333.22120000,335.00000000,223.00000000,253.00000000,13497656.24700000,3803591547.44821090,3476190
1613692800000,2021-02-19 00:00:00,BNB/USDT,195.55490000,348.69690000,194.92790000,333.11100000,20188858.19800000,5528652618.86082480,4491728
1613606400000,2021-02-18 00:00:00,BNB/USDT,165.31760000,199.88000000,162.79690000,195.60000000,11226893.37300000,2093727364.87909500,2106653
1613520000000,2021-02-17 00:00:00,BNB/USDT,130.18300000,175.99970000,126.75460000,165.32330000,10185662.26000000,1540919651.63309360,1654588
1613433600000,2021-02-16 00:00:00,BNB/USDT,129.94930000,133.49250000,126.00000000,130.18300000,3258276.71400000,423640104.86360060,616879
1613347200000,2021-02-15 00:00:00,BNB/USDT,135.86230000,139.36900000,118.00000000,130.30300000,4772752.80600000,617209050.27922280,953125
1613260800000,2021-02-14 00:00:00,BNB/USDT,133.34980000,139.00000000,128.46150000,135.86230000,4405507.88500000,588209671.87431580,919313
1613174400000,2021-02-13 00:00:00,BNB/USDT,136.73210000,138.50670000,125.00000000,133.34960000,3785723.40200000,497454132.37548690,936880
1613088000000,2021-02-12 00:00:00,BNB/USDT,124.11290000,141.32000000,120.89000000,136.61390000,5626020.82400000,740055607.98707900,1155321
1613001600000,2021-02-11 00:00:00,BNB/USDT,128.94630000,132.80000000,117.72890000,124.08500000,5920400.25500000,737374300.58759530,1185612
1612915200000,2021-02-10 00:00:00,BNB/USDT,107.34960000,148.40000000,107.28110000,128.97110000,16613534.27400000,2139218096.50960630,2836233
1612828800000,2021-02-09 00:00:00,BNB/USDT,79.87340000,116.24000000,78.03810000,107.34690000,12487305.86800000,1222317019.46055390,1979175
1612742400000,2021-02-08 00:00:00,BNB/USDT,68.35500000,79.88230000,67.61520000,79.83740000,7860567.38900000,573806461.52878580,1279676
1612656000000,2021-02-07 00:00:00,BNB/USDT,72.86930000,74.81990000,64.18030000,68.35420000,5969908.44200000,413359634.35803080,851424
1612569600000,2021-02-06 00:00:00,BNB/USDT,67.62170000,75.50000000,61.70000000,72.83560000,8482528.53100000,595983260.00977280,1151480
1612483200000,2021-02-05 00:00:00,BNB/USDT,55.95930000,68.73000000,55.92020000,67.70050000,5040545.22300000,306515082.62922770,682891
1612396800000,2021-02-04 00:00:00,BNB/USDT,52.12000000,57.05470000,51.25000000,55.95990000,4004741.29400000,215002299.81799480,579484
1612310400000,2021-02-03 00:00:00,BNB/USDT,51.02900000,52.70000000,49.78230000,52.12000000,2949735.03600000,150776117.80316860,462818
