https://www.investing.com
blank,blank,snapped_at,price,market_cap,total_volume
blank,blank,2021-03-18 00:00:00 UTC,1.2627689329047764,1015815672.3199881,573307663.9379034
blank,blank,2021-03-17 00:00:00 UTC,1.1816816215169335,949270878.1894408,683512223.5560398
blank,blank,2021-03-16 00:00:00 UTC,1.1472435687761537,930896395.1476508,852806614.7106694
blank,blank,2021-03-15 00:00:00 UTC,1.0779253797945245,876131121.2774395,380831728.84264326
blank,blank,2021-03-14 00:00:00 UTC,1.1368289331480526,919725828.982936,413652113.734413
blank,blank,2021-03-13 00:00:00 UTC,1.068201547281219,867081105.2885933,395686741.86218995
blank,blank,2021-03-12 00:00:00 UTC,1.1269061550297979,911205631.1079358,472146731.1407584
blank,blank,2021-03-11 00:00:00 UTC,1.1323759834439087,914411122.2623149,503701363.6578687
blank,blank,2021-03-10 00:00:00 UTC,1.2128327147116058,976359173.2386035,601164856.3299274
blank,blank,2021-03-09 00:00:00 UTC,1.127843963737389,909109279.3713071,445028746.0870724
blank,blank,2021-03-08 00:00:00 UTC,1.049841954116211,847297104.7895131,349826505.7669382
blank,blank,2021-03-07 00:00:00 UTC,1.0429156112908784,842101494.6732426,527412571.8623393
blank,blank,2021-03-06 00:00:00 UTC,1.0208031145900207,798020825.9175509,385460769.7980487
blank,blank,2021-03-05 00:00:00 UTC,0.9678787774513783,783583678.341426,524547730.0356586
blank,blank,2021-03-04 00:00:00 UTC,1.0376809388390869,837362998.8087295,560638446.3767474
blank,blank,2021-03-03 00:00:00 UTC,0.9212543109529172,743999601.4772168,415511134.7131872
blank,blank,2021-03-02 00:00:00 UTC,0.9130467644767305,737522784.2576921,398243805.35374177
blank,blank,2021-03-01 00:00:00 UTC,0.8408051171970867,685490920.8828305,437499748.4072694
blank,blank,2021-02-28 00:00:00 UTC,0.9197897867927448,738942724.530311,427715651.2938354
blank,blank,2021-02-27 00:00:00 UTC,0.8985669005948548,725452633.1162452,502227557.82458997
blank,blank,2021-02-26 00:00:00 UTC,0.9338356003165467,765555699.3284934,561565380.8899742
blank,blank,2021-02-25 00:00:00 UTC,1.0061415106822167,811206340.236062,753406730.4418726
blank,blank,2021-02-24 00:00:00 UTC,0.9777780038082583,783796924.8121924,947769722.113272
blank,blank,2021-02-23 00:00:00 UTC,1.2030925055668786,971288962.863211,931511743.2993895
blank,blank,2021-02-22 00:00:00 UTC,1.4188041067097452,1149745355.0495725,1252776799.5883553
blank,blank,2021-02-21 00:00:00 UTC,1.2371959682326412,978425339.4420205,787236130.755516
blank,blank,2021-02-20 00:00:00 UTC,1.2755629594090383,1032745488.0498903,659270619.435206
blank,blank,2021-02-19 00:00:00 UTC,1.2314390379489328,994095584.534957,606984995.0041538
blank,blank,2021-02-18 00:00:00 UTC,1.1565790046303888,939167127.5625954,601951939.6961852
blank,blank,2021-02-17 00:00:00 UTC,1.1236831909824339,910820178.7829853,678627287.2862875
blank,blank,2021-02-16 00:00:00 UTC,1.149719563345438,932733254.5996591,769226893.6615428
blank,blank,2021-02-15 00:00:00 UTC,1.167580129942777,950673962.8815752,781473538.3931346
blank,blank,2021-02-14 00:00:00 UTC,1.291630370032354,1053407859.6209642,939927661.112541
blank,blank,2021-02-13 00:00:00 UTC,1.0910549217702437,881584280.3057121,656760926.1042272
blank,blank,2021-02-12 00:00:00 UTC,1.0363981824862556,838749024.0301977,751105484.6693735
blank,blank,2021-02-11 00:00:00 UTC,0.908212285714409,741771901.9705658,783957671.3600149
blank,blank,2021-02-10 00:00:00 UTC,0.8415181808218726,678065723.3186808,464286399.3285331
blank,blank,2021-02-09 00:00:00 UTC,0.7794690027161167,626657809.3596997,467556787.8985219
blank,blank,2021-02-08 00:00:00 UTC,0.6903403545022494,548700170.6052294,337563767.8494922
blank,blank,2021-02-07 00:00:00 UTC,0.6575191649157911,525821373.6238418,298475436.12759006
blank,blank,2021-02-06 00:00:00 UTC,0.6751540481607772,540951352.7579453,309315021.83536375
blank,blank,2021-02-05 00:00:00 UTC,0.6041827530849015,491888467.2175701,166980063.02837124
blank,blank,2021-02-04 00:00:00 UTC,0.6314411697644107,508414526.8295941,199836196.9869843
blank,blank,2021-02-03 00:00:00 UTC,0.6203693580985667,501180766.5329475,239143858.707365
blank,blank,2021-02-02 00:00:00 UTC,0.5873418047745488,471952744.0681546,196695051.97027725
blank,blank,2021-02-01 00:00:00 UTC,0.5791407573056416,465337557.822512,207776632.6159012
blank,blank,2021-01-31 00:00:00 UTC,0.586073829114908,472702366.75114506,205500937.7463796
blank,blank,2021-01-30 00:00:00 UTC,0.577781618624901,468611733.695169,303108681.25117046
blank,blank,2021-01-29 00:00:00 UTC,0.5602079548467039,452237689.3973395,171475682.55810976
blank,blank,2021-01-28 00:00:00 UTC,0.5390686939906338,433427555.67768055,180172062.48658803
blank,blank,2021-01-27 00:00:00 UTC,0.5800688659132772,467878539.7109423,187465261.85308278
blank,blank,2021-01-26 00:00:00 UTC,0.5945054993440219,480740506.89267355,233323246.89122844
blank,blank,2021-01-25 00:00:00 UTC,0.6134174799459644,496788711.1779567,292818692.8307917
blank,blank,2021-01-24 00:00:00 UTC,0.6004906001378361,482536543.0166817,291569337.88575685
blank,blank,2021-01-23 00:00:00 UTC,0.5718929523026102,458811635.02216923,281487949.8085381
blank,blank,2021-01-22 00:00:00 UTC,0.5489717704495619,445658066.62347317,277247807.6658885
blank,blank,2021-01-21 00:00:00 UTC,0.6360239191896602,512345738.03909045,307646947.75603706
blank,blank,2021-01-20 00:00:00 UTC,0.6626174749369924,535046276.5417084,307737388.5425593
blank,blank,2021-01-19 00:00:00 UTC,0.7081247304912198,571325890.417834,368576135.17147106
blank,blank,2021-01-18 00:00:00 UTC,0.6683361433343101,544126600.4435134,342796891.90195775
blank,blank,2021-01-17 00:00:00 UTC,0.6553514120335789,529467275.7272453,356963161.699875
blank,blank,2021-01-16 00:00:00 UTC,0.6323889499123382,513439278.68130505,324648888.1885481
blank,blank,2021-01-15 00:00:00 UTC,0.5801493402102865,466424777.3547787,179468215.11525097
blank,blank,2021-01-14 00:00:00 UTC,0.5775236153345144,464354181.77282405,179263939.06300476
blank,blank,2021-01-13 00:00:00 UTC,0.533937329580133,429360498.22106963,154869769.997805
blank,blank,2021-01-12 00:00:00 UTC,0.5518330383207323,445797548.71198815,397589715.22005224
blank,blank,2021-01-11 00:00:00 UTC,0.6609849518939548,524658016.0105509,322640997.0289957
blank,blank,2021-01-10 00:00:00 UTC,0.6375651868970711,516094576.2848582,328161863.115663
blank,blank,2021-01-09 00:00:00 UTC,0.5554126980285728,446290360.886091,190668995.4419425
blank,blank,2021-01-08 00:00:00 UTC,0.5597541814503236,445971915.9574996,272226926.7640252
blank,blank,2021-01-07 00:00:00 UTC,0.5834354365810253,470240723.3587821,183645366.33380625
blank,blank,2021-01-06 00:00:00 UTC,0.5102942322393862,409895640.2335995,191496306.84128392
blank,blank,2021-01-05 00:00:00 UTC,0.48308144232524197,387867905.5952778,199170932.24094772
blank,blank,2021-01-04 00:00:00 UTC,0.5031648994842218,402977520.85447055,124888618.1148918
blank,blank,2021-01-03 00:00:00 UTC,0.4673806912774272,375470428.5645419,165096151.12202072
blank,blank,2021-01-02 00:00:00 UTC,0.45061718692043035,362331267.3414113,108290583.6370427
blank,blank,2021-01-01 00:00:00 UTC,0.4417958745721444,353485219.45760757,94596571.71619695
blank,blank,2020-12-31 00:00:00 UTC,0.44582873352574215,358975893.0974663,85823143.20540562
blank,blank,2020-12-30 00:00:00 UTC,0.45594176453115,364253200.56401277,100444836.4628287
blank,blank,2020-12-29 00:00:00 UTC,0.4646298934114446,373305877.78364956,136603352.50195864
blank,blank,2020-12-28 00:00:00 UTC,0.45335377816360545,365064331.3350272,160873350.45980468
blank,blank,2020-12-27 00:00:00 UTC,0.45568238478626416,364432282.9842798,102553902.13224345
blank,blank,2020-12-26 00:00:00 UTC,0.45119711361905995,362862771.52446014,161480753.67876792
blank,blank,2020-12-25 00:00:00 UTC,0.4598764010454218,367626775.44456977,125132204.72215705
blank,blank,2020-12-24 00:00:00 UTC,0.4104343285653119,334130043.2121595,174996535.1304408
blank,blank,2020-12-23 00:00:00 UTC,0.522675994557058,419975824.97729397,153065350.03832543
blank,blank,2020-12-22 00:00:00 UTC,0.5215005732771556,420708566.1157025,153404945.33792037
blank,blank,2020-12-21 00:00:00 UTC,0.5522702099659227,443968863.45257133,128670127.46279296
blank,blank,2020-12-20 00:00:00 UTC,0.5650681259440332,454148231.54880613,129497019.06607896
blank,blank,2020-12-19 00:00:00 UTC,0.5695805762742269,456522065.33766973,117843804.44764358
blank,blank,2020-12-18 00:00:00 UTC,0.5342167477593487,428640635.7304879,178119297.3273967
blank,blank,2020-12-17 00:00:00 UTC,0.5365492351005801,430658345.2177371,118740109.48784287
blank,blank,2020-12-16 00:00:00 UTC,0.5110779598154925,410817790.0362429,98765554.68529132
blank,blank,2020-12-15 00:00:00 UTC,0.5137309848315855,413456264.6594399,90015935.8836392
blank,blank,2020-12-14 00:00:00 UTC,0.5183112929258902,415383574.55216235,89476251.48737499
blank,blank,2020-12-13 00:00:00 UTC,0.5010302596683422,402636816.18500626,76034924.13371901
blank,blank,2020-12-12 00:00:00 UTC,0.4828546784122971,388727015.6124145,95466319.04452616
blank,blank,2020-12-11 00:00:00 UTC,0.49546861675050147,399352601.632936,88283375.15113719
blank,blank,2020-12-10 00:00:00 UTC,0.5067957094045898,407989667.64429855,119676584.9026969
