https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1613692800000,2021-02-19 00:00:00,EOS/USDT,4.81500000,5.37630000,4.65000000,5.22670000,51485574.30000000,262298329.62039800,376403
1613606400000,2021-02-18 00:00:00,EOS/USDT,4.84270000,5.00700000,4.65840000,4.81460000,32897326.85000000,159775088.65250100,236835
1613520000000,2021-02-17 00:00:00,EOS/USDT,4.64380000,4.88700000,4.42110000,4.84410000,36369451.02000000,171551543.22651700,257180
1613433600000,2021-02-16 00:00:00,EOS/USDT,4.71430000,4.97200000,4.41400000,4.64470000,52643137.62000000,247982957.59752500,317116
1613347200000,2021-02-15 00:00:00,EOS/USDT,5.06540000,5.24430000,4.12440000,4.71480000,64176584.35000000,302391300.17180100,443520
1613260800000,2021-02-14 00:00:00,EOS/USDT,5.55020000,5.60280000,4.86140000,5.06670000,53628704.89000000,281526575.36838800,620695
1613174400000,2021-02-13 00:00:00,EOS/USDT,4.75060000,5.56000000,4.49000000,5.55620000,77049397.80000000,387473887.13132100,580776
1613088000000,2021-02-12 00:00:00,EOS/USDT,4.57990000,4.84000000,4.22500000,4.74890000,52730255.73000000,240201539.80307200,410278
1613001600000,2021-02-11 00:00:00,EOS/USDT,4.12620000,4.67380000,4.00000000,4.58330000,57897957.72000000,250714150.87144000,379402
1612915200000,2021-02-10 00:00:00,EOS/USDT,4.16440000,4.53910000,3.63330000,4.12600000,92504279.48000000,381038361.84919500,549859
1612828800000,2021-02-09 00:00:00,EOS/USDT,3.59620000,4.31020000,3.48030000,4.16310000,74686340.05000000,288007700.94900100,439678
1612742400000,2021-02-08 00:00:00,EOS/USDT,3.44000000,3.60000000,3.35030000,3.59370000,45616122.74000000,158145067.25866300,284408
1612656000000,2021-02-07 00:00:00,EOS/USDT,3.21030000,3.59000000,3.02510000,3.44000000,71730948.25000000,239629299.22438500,357272
1612569600000,2021-02-06 00:00:00,EOS/USDT,3.31480000,3.32590000,3.13330000,3.20920000,26168387.51000000,84229640.55726000,184465
1612483200000,2021-02-05 00:00:00,EOS/USDT,3.02260000,3.38000000,3.01050000,3.31280000,34894929.50000000,110998139.20939900,224221
1612396800000,2021-02-04 00:00:00,EOS/USDT,3.06650000,3.14880000,2.98000000,3.02260000,24736829.90000000,75451532.59533800,172111
1612310400000,2021-02-03 00:00:00,EOS/USDT,2.99760000,3.13850000,2.98460000,3.06650000,21949660.93000000,67070966.81379300,139418
1612224000000,2021-02-02 00:00:00,EOS/USDT,3.05490000,3.07620000,2.95300000,2.99790000,25606816.44000000,77026448.78875400,158825
1612137600000,2021-02-01 00:00:00,EOS/USDT,2.92980000,3.28000000,2.89300000,3.05500000,81454074.44000000,251617169.49536800,413463
1612051200000,2021-01-31 00:00:00,EOS/USDT,2.93140000,3.07680000,2.79470000,2.92970000,48808848.44000000,142995548.36203800,288416
1611964800000,2021-01-30 00:00:00,EOS/USDT,2.72550000,3.09890000,2.68800000,2.93190000,46687724.55000000,134910682.80559000,287479
