https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1614384000000,2021-02-27 00:00:00,LTC/USDT,170.20000000,180.48000000,167.13000000,171.76000000,1113606.44010000,194721552.36965730,399095
1614297600000,2021-02-26 00:00:00,LTC/USDT,179.36000000,182.86000000,162.74000000,170.25000000,2180233.25143000,376896603.42819400,787789
1614211200000,2021-02-25 00:00:00,LTC/USDT,181.43000000,205.21000000,175.00000000,179.36000000,1961972.04220000,374933085.95019480,702585
1614124800000,2021-02-24 00:00:00,LTC/USDT,177.35000000,189.46000000,169.08000000,181.43000000,1827554.60176000,331667058.02782560,551322
1614038400000,2021-02-23 00:00:00,LTC/USDT,208.10000000,208.80000000,157.29000000,177.34000000,3669737.32689000,656297107.87391790,879269
1613952000000,2021-02-22 00:00:00,LTC/USDT,227.17000000,227.39000000,180.00000000,208.32000000,2556958.22160000,530466837.05542020,722624
1613865600000,2021-02-21 00:00:00,LTC/USDT,226.77000000,233.78000000,220.06000000,227.13000000,1268407.03046000,288545534.88444690,547213
1613779200000,2021-02-20 00:00:00,LTC/USDT,236.45000000,247.04000000,214.02000000,226.65000000,1701950.27455000,401705947.58883950,694031
1613692800000,2021-02-19 00:00:00,LTC/USDT,226.58000000,241.92000000,220.06000000,236.50000000,1402427.87852000,325090696.92357710,572472
1613606400000,2021-02-18 00:00:00,LTC/USDT,237.39000000,239.18000000,221.00000000,226.59000000,1580820.71000000,362511271.60783230,703424
1613520000000,2021-02-17 00:00:00,LTC/USDT,210.23000000,237.75000000,203.37000000,237.49000000,1839179.97093000,409828549.42424460,741367
1613433600000,2021-02-16 00:00:00,LTC/USDT,208.03000000,222.48000000,200.10000000,210.26000000,1660812.39786000,351273131.92534750,582957
1613347200000,2021-02-15 00:00:00,LTC/USDT,213.47000000,219.99000000,185.31000000,207.83000000,2173405.17958000,447239834.95548890,683757
1613260800000,2021-02-14 00:00:00,LTC/USDT,225.77000000,230.77000000,208.11000000,213.49000000,1765475.48101000,387593416.69748830,796054
1613174400000,2021-02-13 00:00:00,LTC/USDT,196.71000000,229.07000000,191.45000000,225.76000000,2843517.28691000,594221999.90048800,857965
1613088000000,2021-02-12 00:00:00,LTC/USDT,183.62000000,199.84000000,176.75000000,196.69000000,1946870.34253000,364142891.78315250,593794
1613001600000,2021-02-11 00:00:00,LTC/USDT,181.59000000,193.59000000,175.72000000,183.62000000,1664189.08770000,309306444.73788820,505129
1612915200000,2021-02-10 00:00:00,LTC/USDT,181.52000000,195.17000000,169.57000000,181.56000000,2781973.96254000,511568659.87450640,921888
1612828800000,2021-02-09 00:00:00,LTC/USDT,167.28000000,184.49000000,164.22000000,181.49000000,1981149.12366000,339741920.43175130,602539
1612742400000,2021-02-08 00:00:00,LTC/USDT,150.76000000,169.38000000,147.76000000,167.28000000,1894490.90608000,301611530.01698200,517962
1612656000000,2021-02-07 00:00:00,LTC/USDT,155.57000000,157.29000000,145.23000000,150.76000000,1259975.92894000,190631760.74434170,393232
1612569600000,2021-02-06 00:00:00,LTC/USDT,155.05000000,164.27000000,149.82000000,155.57000000,1879526.24312000,298721059.75690770,508088
1612483200000,2021-02-05 00:00:00,LTC/USDT,145.05000000,156.93000000,143.45000000,155.05000000,1572009.29596000,239251271.38727440,373144
1612396800000,2021-02-04 00:00:00,LTC/USDT,155.94000000,158.68000000,141.03000000,145.07000000,1766938.56965000,263741634.94941890,476673
1612310400000,2021-02-03 00:00:00,LTC/USDT,141.96000000,156.70000000,141.92000000,155.93000000,1820822.28924000,276355784.68062930,506675
1612224000000,2021-02-02 00:00:00,LTC/USDT,131.99000000,145.82000000,131.87000000,141.98000000,1884558.49538000,265593003.27596420,497429
1612137600000,2021-02-01 00:00:00,LTC/USDT,129.37000000,136.63000000,125.95000000,132.00000000,1167609.37029000,153549752.23816480,318786
1612051200000,2021-01-31 00:00:00,LTC/USDT,133.35000000,135.06000000,125.67000000,129.36000000,917993.35191000,119233545.98228610,274128
1611964800000,2021-01-30 00:00:00,LTC/USDT,134.67000000,136.23000000,128.02000000,133.36000000,1215569.95596000,160309617.01478010,384066
1611878400000,2021-01-29 00:00:00,LTC/USDT,133.25000000,145.50000000,131.44000000,134.65000000,2193040.38440000,302900712.68772330,675138
1611792000000,2021-01-28 00:00:00,LTC/USDT,122.45000000,135.84000000,120.74000000,133.27000000,1074760.50528000,139123165.54044950,388459
1611705600000,2021-01-27 00:00:00,LTC/USDT,134.69000000,134.96000000,118.13000000,122.44000000,1240323.68178000,155421717.59061670,438691
1611619200000,2021-01-26 00:00:00,LTC/USDT,137.07000000,139.76000000,127.85000000,134.67000000,1093141.08136000,146658904.32979730,348427
1611532800000,2021-01-25 00:00:00,LTC/USDT,141.01000000,147.87000000,136.62000000,137.07000000,1380902.39350000,197598742.36257960,410581
1611446400000,2021-01-24 00:00:00,LTC/USDT,137.66000000,142.65000000,133.73000000,141.01000000,917459.85058000,127591959.12300120,278269
1611360000000,2021-01-23 00:00:00,LTC/USDT,137.65000000,143.52000000,135.05000000,137.67000000,969988.56158000,134724709.09932060,364548
1611273600000,2021-01-22 00:00:00,LTC/USDT,129.70000000,141.85000000,122.70000000,137.66000000,1979078.00560000,267423454.47647860,686050
1611187200000,2021-01-21 00:00:00,LTC/USDT,149.67000000,150.25000000,125.64000000,129.72000000,2114912.93172000,288136729.75040450,614839
1611100800000,2021-01-20 00:00:00,LTC/USDT,151.85000000,156.15000000,138.40000000,149.69000000,2037654.31965000,300191114.56867930,621515
1611014400000,2021-01-19 00:00:00,LTC/USDT,151.97000000,166.02000000,150.18000000,151.86000000,2288798.47777000,364329170.43716040,772775
1610928000000,2021-01-18 00:00:00,LTC/USDT,142.78000000,154.99000000,138.44000000,151.96000000,1644947.14813000,242255237.74433520,458723
1610841600000,2021-01-17 00:00:00,LTC/USDT,143.52000000,147.00000000,136.22000000,142.80000000,1379082.37920000,195777669.99104870,431558
1610755200000,2021-01-16 00:00:00,LTC/USDT,143.66000000,152.59000000,139.28000000,143.52000000,1784053.82975000,260477969.60666860,540898
1610668800000,2021-01-15 00:00:00,LTC/USDT,152.46000000,155.74000000,130.00000000,143.65000000,2104225.51210000,304793400.39795030,651698
1610582400000,2021-01-14 00:00:00,LTC/USDT,147.39000000,156.89000000,143.55000000,152.50000000,2033762.60027000,304472230.40606090,558995
1610496000000,2021-01-13 00:00:00,LTC/USDT,133.44000000,148.46000000,125.90000000,147.38000000,2153426.27798000,294745960.68489740,591714
1610409600000,2021-01-12 00:00:00,LTC/USDT,138.88000000,146.86000000,128.00000000,133.42000000,2825579.61257000,388334448.47173540,705629
1610323200000,2021-01-11 00:00:00,LTC/USDT,170.06000000,170.74000000,112.70000000,138.87000000,4989528.65149000,676718971.80544480,1330771
1610236800000,2021-01-10 00:00:00,LTC/USDT,177.27000000,185.83000000,161.86000000,170.07000000,2269705.04460000,397700165.56037810,758526
1610150400000,2021-01-09 00:00:00,LTC/USDT,172.28000000,178.80000000,163.30000000,177.26000000,1749781.84973000,299170389.28691810,627933
1610064000000,2021-01-08 00:00:00,LTC/USDT,169.35000000,181.92000000,150.00000000,172.19000000,2843159.70340000,479867965.46564610,920205
1609977600000,2021-01-07 00:00:00,LTC/USDT,168.96000000,181.22000000,161.18000000,169.35000000,2493533.99480000,424745168.46115310,821999
1609891200000,2021-01-06 00:00:00,LTC/USDT,158.46000000,169.72000000,154.95000000,168.92000000,1857831.43166000,302208185.27993690,538480
1609804800000,2021-01-05 00:00:00,LTC/USDT,155.33000000,162.80000000,146.52000000,158.43000000,1998205.92425000,308980342.19901610,477603
1609718400000,2021-01-04 00:00:00,LTC/USDT,161.23000000,173.66000000,139.31000000,155.34000000,3530422.20392000,551040498.87548890,869279
1609632000000,2021-01-03 00:00:00,LTC/USDT,136.94000000,164.70000000,135.30000000,161.24000000,3813834.07669000,568621276.83870680,861814
1609545600000,2021-01-02 00:00:00,LTC/USDT,126.20000000,142.00000000,123.15000000,136.96000000,2442266.76500000,323461384.15540430,569576
1609459200000,2021-01-01 00:00:00,LTC/USDT,124.22000000,133.97000000,122.89000000,126.24000000,1539801.80815000,197556175.35603690,349403
1609372800000,2020-12-31 00:00:00,LTC/USDT,130.06000000,130.35000000,121.98000000,124.21000000,1248723.03424000,156991311.03482110,276558
1609286400000,2020-12-30 00:00:00,LTC/USDT,128.80000000,133.11000000,122.63000000,130.05000000,1727676.64100000,220908109.43469750,433275
1609200000000,2020-12-29 00:00:00,LTC/USDT,129.84000000,130.90000000,120.00000000,128.80000000,1732248.38409000,218608845.40846340,395856
1609113600000,2020-12-28 00:00:00,LTC/USDT,127.83000000,137.41000000,126.37000000,129.83000000,2349842.95502000,309678082.06320830,441642
1609027200000,2020-12-27 00:00:00,LTC/USDT,129.61000000,139.47000000,121.88000000,127.88000000,3743173.13001000,494840941.24771680,620934
1608940800000,2020-12-26 00:00:00,LTC/USDT,127.74000000,135.19000000,124.94000000,129.61000000,3461075.64730000,449830180.98402050,532001
1608854400000,2020-12-25 00:00:00,LTC/USDT,111.13000000,128.63000000,108.18000000,127.78000000,3117913.94898000,370546271.46844690,517497
1608768000000,2020-12-24 00:00:00,LTC/USDT,102.46000000,112.32000000,98.55000000,111.13000000,2696980.51697000,282469396.37839040,439395
1608681600000,2020-12-23 00:00:00,LTC/USDT,114.31000000,117.29000000,95.23000000,102.45000000,3923591.07434000,424020893.51979370,666325
1608595200000,2020-12-22 00:00:00,LTC/USDT,104.48000000,114.63000000,98.35000000,114.32000000,3210319.32528000,342738420.00107190,479898
1608508800000,2020-12-21 00:00:00,LTC/USDT,114.59000000,118.65000000,100.31000000,104.45000000,2599527.81365000,283146069.81855130,401306
1608422400000,2020-12-20 00:00:00,LTC/USDT,119.85000000,123.21000000,109.76000000,114.58000000,2671305.32839000,313367367.83265300,513158
1608336000000,2020-12-19 00:00:00,LTC/USDT,109.34000000,124.24000000,105.31000000,119.85000000,2753360.19971000,316850965.36465900,489308
1608249600000,2020-12-18 00:00:00,LTC/USDT,100.99000000,112.88000000,99.24000000,109.34000000,3141671.53609000,337670222.20905700,569257
1608163200000,2020-12-17 00:00:00,LTC/USDT,92.94000000,109.80000000,90.00000000,101.01000000,4161454.89253000,414585850.69950550,605965
1608076800000,2020-12-16 00:00:00,LTC/USDT,81.36000000,93.44000000,78.31000000,92.94000000,2349124.19924000,201924000.21168020,299842
1607990400000,2020-12-15 00:00:00,LTC/USDT,82.38000000,84.93000000,80.39000000,81.32000000,1348469.20889000,110776073.60655390,228718
1607904000000,2020-12-14 00:00:00,LTC/USDT,82.27000000,82.98000000,79.11000000,82.35000000,1102081.73026000,89440711.00028510,174704
1607817600000,2020-12-13 00:00:00,LTC/USDT,76.64000000,84.38000000,75.52000000,82.28000000,1278882.98328000,102688853.34340670,188999
1607731200000,2020-12-12 00:00:00,LTC/USDT,72.20000000,77.58000000,71.97000000,76.67000000,872394.12884000,65737747.08033730,127433
1607644800000,2020-12-11 00:00:00,LTC/USDT,74.77000000,75.09000000,69.87000000,72.20000000,1484095.85234000,106519712.19561320,171384
1607558400000,2020-12-10 00:00:00,LTC/USDT,77.41000000,77.66000000,72.51000000,74.70000000,900570.55820000,67806633.69941120,107088
1607472000000,2020-12-09 00:00:00,LTC/USDT,76.75000000,78.14000000,72.13000000,77.41000000,1378314.59353000,104645905.65622710,184970
1607385600000,2020-12-08 00:00:00,LTC/USDT,83.37000000,84.83000000,75.41000000,76.76000000,1230953.86975000,98587741.41994290,217078
1607299200000,2020-12-07 00:00:00,LTC/USDT,83.54000000,86.87000000,81.73000000,83.37000000,1145446.47407000,96166838.18654230,194711
1607212800000,2020-12-06 00:00:00,LTC/USDT,83.11000000,85.19000000,80.31000000,83.55000000,921046.75996000,76405873.32399230,139936
1607126400000,2020-12-05 00:00:00,LTC/USDT,79.52000000,84.28000000,78.61000000,83.14000000,1278363.44579000,104622408.56423110,183040
1607040000000,2020-12-04 00:00:00,LTC/USDT,89.01000000,89.84000000,77.80000000,79.52000000,1701697.85317000,144315548.66815000,233567
1606953600000,2020-12-03 00:00:00,LTC/USDT,88.89000000,91.50000000,85.46000000,89.00000000,1690248.45885000,149648537.47962460,299422
1606867200000,2020-12-02 00:00:00,LTC/USDT,85.07000000,90.63000000,82.61000000,88.90000000,2135078.47937000,185587960.28621110,348663
1606780800000,2020-12-01 00:00:00,LTC/USDT,87.66000000,93.01000000,79.56000000,85.08000000,3600461.26285000,316329074.08037720,538823
1606694400000,2020-11-30 00:00:00,LTC/USDT,78.89000000,88.46000000,76.63000000,87.65000000,2118965.66781000,176439147.75400770,301333
1606608000000,2020-11-29 00:00:00,LTC/USDT,72.68000000,81.07000000,71.51000000,78.91000000,1514540.21111000,115532599.72874420,229427
1606521600000,2020-11-28 00:00:00,LTC/USDT,69.18000000,74.97000000,68.26000000,72.70000000,1483068.35897000,106171116.74075720,181396
1606435200000,2020-11-27 00:00:00,LTC/USDT,70.99000000,73.50000000,65.30000000,69.15000000,1707521.50402000,118203288.93025820,213682
1606348800000,2020-11-26 00:00:00,LTC/USDT,81.75000000,83.29000000,64.45000000,71.00000000,3435959.29518000,251435782.40591920,422548
1606262400000,2020-11-25 00:00:00,LTC/USDT,89.27000000,90.76000000,78.05000000,81.75000000,1631940.24087000,141140495.30034310,212329
1606176000000,2020-11-24 00:00:00,LTC/USDT,89.04000000,94.02000000,84.60000000,89.25000000,2621715.64303000,235080123.59422530,353058
1606089600000,2020-11-23 00:00:00,LTC/USDT,82.87000000,90.93000000,80.80000000,89.03000000,2535636.06789000,220072734.19002820,289664
1606003200000,2020-11-22 00:00:00,LTC/USDT,87.09000000,87.92000000,77.30000000,82.87000000,2048304.58082000,171408076.02708960,238468
1605916800000,2020-11-21 00:00:00,LTC/USDT,82.55000000,88.50000000,80.10000000,87.14000000,2521719.40828000,212594343.03374600,297869
1605830400000,2020-11-20 00:00:00,LTC/USDT,81.54000000,85.63000000,79.99000000,82.53000000,2386175.15236000,196229165.30655740,331704
1605744000000,2020-11-19 00:00:00,LTC/USDT,73.41000000,83.40000000,71.47000000,81.53000000,2773824.05583000,216138873.57441060,385582
1605657600000,2020-11-18 00:00:00,LTC/USDT,76.32000000,77.13000000,67.77000000,73.42000000,2653342.04102000,193749896.69494280,286533
1605571200000,2020-11-17 00:00:00,LTC/USDT,73.83000000,77.00000000,71.36000000,76.32000000,2844994.89879000,210321473.62892260,366969
1605484800000,2020-11-16 00:00:00,LTC/USDT,62.29000000,74.62000000,62.08000000,73.84000000,2526207.15962000,174408345.83858920,291414
1605398400000,2020-11-15 00:00:00,LTC/USDT,63.83000000,64.43000000,61.08000000,62.28000000,685249.75502000,42937719.07819670,87860
1605312000000,2020-11-14 00:00:00,LTC/USDT,65.96000000,66.32000000,61.63000000,63.85000000,1017826.05829000,64664038.17161870,163536
1605225600000,2020-11-13 00:00:00,LTC/USDT,60.72000000,66.66000000,60.14000000,65.96000000,1974381.67036000,125824947.00145050,257296
1605139200000,2020-11-12 00:00:00,LTC/USDT,59.28000000,60.82000000,57.60000000,60.72000000,830578.26228000,48949867.85248480,87671
1605052800000,2020-11-11 00:00:00,LTC/USDT,57.94000000,60.53000000,57.80000000,59.27000000,824536.88147000,49135913.09168620,83030
1604966400000,2020-11-10 00:00:00,LTC/USDT,59.22000000,59.60000000,57.04000000,57.93000000,639990.21607000,37334044.15505240,70862
1604880000000,2020-11-09 00:00:00,LTC/USDT,61.00000000,61.86000000,57.37000000,59.23000000,997800.78526000,59500899.16660130,97529
1604793600000,2020-11-08 00:00:00,LTC/USDT,58.90000000,62.03000000,58.52000000,61.02000000,795875.09498000,47974026.23254540,76411
1604707200000,2020-11-07 00:00:00,LTC/USDT,63.22000000,64.77000000,57.00000000,58.90000000,1655539.62718000,101656386.78193110,172494
1604620800000,2020-11-06 00:00:00,LTC/USDT,58.94000000,63.68000000,58.61000000,63.20000000,1735473.54314000,106582211.42003290,177692
1604534400000,2020-11-05 00:00:00,LTC/USDT,54.70000000,59.73000000,54.62000000,58.95000000,1366335.62939000,78053912.16519520,135925
1604448000000,2020-11-04 00:00:00,LTC/USDT,53.96000000,55.24000000,51.59000000,54.67000000,801009.79133000,42873857.89305920,71359
1604361600000,2020-11-03 00:00:00,LTC/USDT,53.82000000,54.37000000,51.13000000,53.96000000,672320.16238000,35538087.92028070,64468
1604275200000,2020-11-02 00:00:00,LTC/USDT,55.60000000,56.84000000,53.01000000,53.80000000,700498.49280000,38304588.60460880,61578
1604188800000,2020-11-01 00:00:00,LTC/USDT,55.69000000,56.19000000,54.07000000,55.60000000,369373.81151000,20377654.86585630,34500
1604102400000,2020-10-31 00:00:00,LTC/USDT,54.02000000,56.50000000,53.60000000,55.72000000,593903.97546000,32842454.19590500,57738
1604016000000,2020-10-30 00:00:00,LTC/USDT,54.88000000,55.78000000,52.20000000,54.01000000,706074.89769000,38012823.48380590,63397
1603929600000,2020-10-29 00:00:00,LTC/USDT,55.76000000,56.57000000,53.37000000,54.87000000,798253.73442000,44138399.06422940,68890
1603843200000,2020-10-28 00:00:00,LTC/USDT,57.90000000,60.55000000,54.71000000,55.77000000,1227549.68318000,70621904.72410450,116245
1603756800000,2020-10-27 00:00:00,LTC/USDT,56.80000000,59.06000000,56.46000000,57.91000000,846694.24825000,48919719.20005870,78399
1603670400000,2020-10-26 00:00:00,LTC/USDT,58.83000000,59.31000000,54.94000000,56.82000000,937505.27029000,53674188.73906860,89363
1603584000000,2020-10-25 00:00:00,LTC/USDT,59.22000000,60.00000000,56.53000000,58.84000000,907068.98603000,52879298.07858730,89548
1603497600000,2020-10-24 00:00:00,LTC/USDT,55.41000000,59.64000000,54.83000000,59.23000000,945746.17086000,54668506.16515420,87804
1603411200000,2020-10-23 00:00:00,LTC/USDT,54.35000000,57.00000000,53.02000000,55.42000000,1079055.89232000,59587249.92748480,91699
1603324800000,2020-10-22 00:00:00,LTC/USDT,52.98000000,56.31000000,52.97000000,54.35000000,1405890.00408000,77327816.23039190,122481
1603238400000,2020-10-21 00:00:00,LTC/USDT,46.88000000,55.00000000,46.85000000,52.98000000,1425655.01750000,73309576.45552910,138648
1603152000000,2020-10-20 00:00:00,LTC/USDT,47.99000000,48.46000000,46.36000000,46.88000000,399254.84677000,18896873.09248290,39816
1603065600000,2020-10-19 00:00:00,LTC/USDT,47.54000000,48.44000000,46.80000000,47.99000000,316808.83163000,15130105.41024990,33495
1602979200000,2020-10-18 00:00:00,LTC/USDT,46.92000000,47.98000000,46.78000000,47.54000000,164733.27305000,7805904.88453900,18535
1602892800000,2020-10-17 00:00:00,LTC/USDT,47.61000000,47.64000000,46.28000000,46.93000000,222964.85752000,10497057.83891430,26798
1602806400000,2020-10-16 00:00:00,LTC/USDT,49.52000000,49.84000000,45.60000000,47.60000000,603775.07786000,28593842.01842040,66327
1602720000000,2020-10-15 00:00:00,LTC/USDT,49.79000000,50.24000000,48.80000000,49.53000000,349966.03743000,17351907.64863380,36449
1602633600000,2020-10-14 00:00:00,LTC/USDT,49.90000000,51.04000000,49.27000000,49.79000000,381873.31223000,19133732.71496300,40356
1602547200000,2020-10-13 00:00:00,LTC/USDT,50.58000000,50.71000000,48.80000000,49.89000000,468445.05222000,23391991.81335770,43960
1602460800000,2020-10-12 00:00:00,LTC/USDT,50.48000000,51.50000000,49.24000000,50.58000000,622150.70858000,31453313.26493170,58695
1602374400000,2020-10-11 00:00:00,LTC/USDT,48.89000000,51.27000000,48.66000000,50.48000000,393329.63182000,19761562.47424800,43519
1602288000000,2020-10-10 00:00:00,LTC/USDT,47.78000000,50.46000000,47.76000000,48.88000000,426163.73877000,21004622.66210160,49531
1602201600000,2020-10-09 00:00:00,LTC/USDT,47.21000000,48.20000000,46.59000000,47.78000000,402514.89168000,19072193.16076680,39974
1602115200000,2020-10-08 00:00:00,LTC/USDT,46.56000000,47.50000000,45.45000000,47.21000000,412581.66491000,19225906.32020010,40934
1602028800000,2020-10-07 00:00:00,LTC/USDT,46.01000000,46.96000000,45.02000000,46.55000000,384596.71962000,17705158.85025090,37381
1601942400000,2020-10-06 00:00:00,LTC/USDT,46.35000000,48.25000000,45.52000000,45.99000000,650720.47185000,30394416.86062150,54752
1601856000000,2020-10-05 00:00:00,LTC/USDT,46.68000000,47.08000000,45.53000000,46.34000000,288147.27514000,13330240.06247230,27061
1601769600000,2020-10-04 00:00:00,LTC/USDT,45.50000000,47.07000000,45.28000000,46.69000000,257423.66188000,11876813.22842720,23414
1601683200000,2020-10-03 00:00:00,LTC/USDT,44.88000000,45.97000000,44.72000000,45.51000000,225825.74372000,10251368.17152600,20596
1601596800000,2020-10-02 00:00:00,LTC/USDT,46.25000000,46.97000000,43.19000000,44.88000000,518670.86558000,23374092.72779570,45906
1601510400000,2020-10-01 00:00:00,LTC/USDT,46.26000000,48.46000000,45.23000000,46.25000000,691422.81613000,32358413.41578790,61223
1601424000000,2020-09-30 00:00:00,LTC/USDT,45.68000000,46.70000000,45.44000000,46.24000000,294138.00474000,13522251.93595990,25914
1601337600000,2020-09-29 00:00:00,LTC/USDT,45.23000000,45.85000000,44.95000000,45.69000000,314875.69765000,14304470.51673360,24712
1601251200000,2020-09-28 00:00:00,LTC/USDT,46.05000000,47.14000000,44.80000000,45.23000000,500347.34059000,23201352.78284670,41300
1601164800000,2020-09-27 00:00:00,LTC/USDT,46.01000000,46.62000000,44.56000000,46.05000000,299821.64354000,13723604.17287210,28584
1601078400000,2020-09-26 00:00:00,LTC/USDT,46.01000000,46.56000000,45.12000000,46.03000000,239828.37016000,11012106.72154820,24117
1600992000000,2020-09-25 00:00:00,LTC/USDT,44.92000000,46.58000000,43.97000000,46.02000000,417026.33099000,18981897.44348560,40013
1600905600000,2020-09-24 00:00:00,LTC/USDT,42.99000000,45.29000000,42.56000000,44.92000000,385922.04928000,17040575.24319050,37560
1600819200000,2020-09-23 00:00:00,LTC/USDT,44.47000000,45.14000000,42.25000000,42.96000000,416831.71649000,18334844.49414580,40774
1600732800000,2020-09-22 00:00:00,LTC/USDT,43.17000000,44.79000000,42.75000000,44.47000000,334632.72915000,14655664.32964060,30283
1600646400000,2020-09-21 00:00:00,LTC/USDT,47.10000000,47.64000000,41.59000000,43.16000000,724381.66742000,32251827.73018620,67893
1600560000000,2020-09-20 00:00:00,LTC/USDT,48.51000000,48.51000000,46.15000000,47.09000000,309678.11312000,14655189.82594050,32523
1600473600000,2020-09-19 00:00:00,LTC/USDT,48.53000000,49.03000000,47.94000000,48.52000000,225043.69543000,10911627.63864740,20442
1600387200000,2020-09-18 00:00:00,LTC/USDT,48.85000000,49.07000000,47.44000000,48.54000000,322351.62539000,15606108.20843330,29396
1600300800000,2020-09-17 00:00:00,LTC/USDT,47.76000000,49.67000000,47.64000000,48.85000000,412392.29057000,20027421.96667250,37509
1600214400000,2020-09-16 00:00:00,LTC/USDT,48.29000000,48.75000000,46.91000000,47.76000000,409293.57783000,19641762.86506960,39278
1600128000000,2020-09-15 00:00:00,LTC/USDT,49.08000000,50.37000000,48.10000000,48.31000000,615374.46932000,30324133.00687380,55967
1600041600000,2020-09-14 00:00:00,LTC/USDT,48.17000000,49.65000000,47.11000000,49.08000000,493683.75375000,23889800.05195410,48550
1599955200000,2020-09-13 00:00:00,LTC/USDT,50.82000000,51.04000000,47.26000000,48.15000000,458828.41821000,22491968.40258840,47732
1599868800000,2020-09-12 00:00:00,LTC/USDT,48.95000000,51.31000000,48.38000000,50.80000000,451949.52403000,22526760.70391760,40384
1599782400000,2020-09-11 00:00:00,LTC/USDT,48.65000000,49.59000000,47.37000000,48.96000000,367092.22089000,17795692.85657070,37211
1599696000000,2020-09-10 00:00:00,LTC/USDT,47.82000000,49.45000000,47.77000000,48.67000000,474471.86038000,23124448.15197730,45998
1599609600000,2020-09-09 00:00:00,LTC/USDT,47.47000000,48.81000000,46.52000000,47.82000000,378772.50759000,18086146.48594510,38639
1599523200000,2020-09-08 00:00:00,LTC/USDT,48.85000000,49.35000000,45.98000000,47.47000000,760182.50564000,36217916.46569750,77671
1599436800000,2020-09-07 00:00:00,LTC/USDT,47.93000000,49.18000000,45.22000000,48.84000000,826692.56519000,39178475.90245510,83808
1599350400000,2020-09-06 00:00:00,LTC/USDT,47.82000000,49.25000000,46.28000000,47.92000000,653592.78694000,31350140.48715730,69849
1599264000000,2020-09-05 00:00:00,LTC/USDT,50.33000000,51.32000000,45.21000000,47.83000000,1350657.16967000,64939622.89229790,133199
1599177600000,2020-09-04 00:00:00,LTC/USDT,47.28000000,52.38000000,46.24000000,50.32000000,1476516.48212000,72672986.38757580,161363
1599091200000,2020-09-03 00:00:00,LTC/USDT,58.07000000,58.62000000,45.33000000,47.28000000,1324245.74096000,70829796.08807980,144885
1599004800000,2020-09-02 00:00:00,LTC/USDT,62.68000000,63.19000000,56.32000000,58.06000000,934006.30005000,55622757.78849700,103266
