https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1609545600000,2021-01-02 00:00:00,ADA/USDT,0.17505000,0.18457000,0.16793000,0.17742000,660303281.20000000,117077280.52655400,231432
1609459200000,2021-01-01 00:00:00,ADA/USDT,0.18134000,0.18473000,0.17000000,0.17509000,462201570.90000000,82720467.01026700,178824
1609372800000,2020-12-31 00:00:00,ADA/USDT,0.18389000,0.18640000,0.17443000,0.18134000,447672619.80000000,80709170.33697000,171189
1609286400000,2020-12-30 00:00:00,ADA/USDT,0.19069000,0.19389000,0.17511000,0.18389000,670221026.80000000,122388423.33323500,281329
1609200000000,2020-12-29 00:00:00,ADA/USDT,0.17630000,0.19725000,0.17304000,0.19067000,1475500719.50000000,273970430.80280800,483117
1609113600000,2020-12-28 00:00:00,ADA/USDT,0.15467000,0.18057000,0.15280000,0.17627000,881547663.50000000,147754102.86798300,278089
1609027200000,2020-12-27 00:00:00,ADA/USDT,0.15839000,0.16642000,0.14936000,0.15467000,798134617.20000000,126512838.10009600,241054
1608940800000,2020-12-26 00:00:00,ADA/USDT,0.15763000,0.16242000,0.14880000,0.15839000,563232604.10000000,87540978.45993000,192288
1608854400000,2020-12-25 00:00:00,ADA/USDT,0.15305000,0.16700000,0.15006000,0.15761000,589176673.80000000,93288393.37839100,196476
1608768000000,2020-12-24 00:00:00,ADA/USDT,0.13631000,0.15477000,0.13132000,0.15304000,738995663.20000000,104882009.45582500,232837
1608681600000,2020-12-23 00:00:00,ADA/USDT,0.15645000,0.15786000,0.12630000,0.13635000,818577125.10000000,118904127.93182200,262757
1608595200000,2020-12-22 00:00:00,ADA/USDT,0.15279000,0.16124000,0.14879000,0.15646000,472974503.20000000,73764999.87558600,188714
1608508800000,2020-12-21 00:00:00,ADA/USDT,0.16196000,0.16714000,0.14680000,0.15278000,430322921.00000000,67151902.25624900,159210
1608422400000,2020-12-20 00:00:00,ADA/USDT,0.16421000,0.16900000,0.15600000,0.16201000,336692485.20000000,55276607.60878600,140413
1608336000000,2020-12-19 00:00:00,ADA/USDT,0.16502000,0.17082000,0.16286000,0.16433000,342041141.90000000,57248498.40441300,138007
1608249600000,2020-12-18 00:00:00,ADA/USDT,0.16339000,0.16942000,0.15821000,0.16502000,404588707.00000000,66380846.14211900,145567
1608163200000,2020-12-17 00:00:00,ADA/USDT,0.16806000,0.17628000,0.16052000,0.16336000,770340713.90000000,129542865.73732200,233697
1608076800000,2020-12-16 00:00:00,ADA/USDT,0.15385000,0.16844000,0.14903000,0.16814000,496276026.70000000,79083716.81930100,173866
1607990400000,2020-12-15 00:00:00,ADA/USDT,0.15877000,0.16000000,0.15261000,0.15381000,272831838.60000000,42449979.30038200,106861
1607904000000,2020-12-14 00:00:00,ADA/USDT,0.15404000,0.15880000,0.14953000,0.15877000,267003605.00000000,40943801.06038500,100732
1607817600000,2020-12-13 00:00:00,ADA/USDT,0.14439000,0.15669000,0.14290000,0.15406000,327839004.50000000,49816857.99481600,123350
1607731200000,2020-12-12 00:00:00,ADA/USDT,0.13927000,0.14736000,0.13876000,0.14438000,236440057.40000000,34221271.35396000,91320
1607644800000,2020-12-11 00:00:00,ADA/USDT,0.14188000,0.14291000,0.13473000,0.13926000,299140983.70000000,41561549.16847400,96159
1607558400000,2020-12-10 00:00:00,ADA/USDT,0.14796000,0.14865000,0.13906000,0.14188000,282799496.30000000,40687535.72393900,97346
1607472000000,2020-12-09 00:00:00,ADA/USDT,0.14117000,0.15025000,0.12924000,0.14796000,538859167.10000000,75432291.63920500,167539
1607385600000,2020-12-08 00:00:00,ADA/USDT,0.15401000,0.15520000,0.13756000,0.14120000,431926292.30000000,63198666.26735400,136736
1607299200000,2020-12-07 00:00:00,ADA/USDT,0.15875000,0.15906000,0.15132000,0.15401000,213173504.20000000,33055652.74585800,64151
1607212800000,2020-12-06 00:00:00,ADA/USDT,0.15996000,0.16288000,0.15301000,0.15873000,290105225.60000000,45667813.04387600,116907
1607126400000,2020-12-05 00:00:00,ADA/USDT,0.14779000,0.16198000,0.14608000,0.15993000,350995852.10000000,54873141.57189600,134044
1607040000000,2020-12-04 00:00:00,ADA/USDT,0.16395000,0.16464000,0.14600000,0.14781000,466897814.70000000,73072575.78105300,181178
1606953600000,2020-12-03 00:00:00,ADA/USDT,0.15841000,0.16842000,0.15532000,0.16398000,413504395.20000000,66943835.32852100,139922
1606867200000,2020-12-02 00:00:00,ADA/USDT,0.15554000,0.15997000,0.15065000,0.15845000,435020305.60000000,67918215.15658600,114336
1606780800000,2020-12-01 00:00:00,ADA/USDT,0.17207000,0.17456000,0.14132000,0.15562000,1039771812.10000000,166639130.74054500,289501
1606694400000,2020-11-30 00:00:00,ADA/USDT,0.16666000,0.17399000,0.16011000,0.17204000,810673450.80000000,136237545.66296700,229177
1606608000000,2020-11-29 00:00:00,ADA/USDT,0.16487000,0.17136000,0.15712000,0.16663000,764061575.30000000,125044829.83945700,240569
1606521600000,2020-11-28 00:00:00,ADA/USDT,0.14178000,0.17233000,0.13878000,0.16489000,1087688653.50000000,171712019.15517800,312532
1606435200000,2020-11-27 00:00:00,ADA/USDT,0.13835000,0.14559000,0.13070000,0.14178000,714401286.70000000,97878697.61369600,212382
