https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1609459200000,2021-01-01 00:00:00,ETH/USDT,736.42000000,749.00000000,714.29000000,728.91000000,675114.09329000,496072043.77740740,483671
1609372800000,2020-12-31 00:00:00,ETH/USDT,752.17000000,755.74000000,722.00000000,736.42000000,863375.57981000,638503822.39406460,623216
1609286400000,2020-12-30 00:00:00,ETH/USDT,732.00000000,758.74000000,716.62000000,752.17000000,1008574.09906000,743546676.75446260,692405
1609200000000,2020-12-29 00:00:00,ETH/USDT,730.40000000,740.78000000,689.20000000,732.00000000,1106876.35855000,794643540.49012380,820504
1609113600000,2020-12-28 00:00:00,ETH/USDT,685.10000000,748.09000000,681.04000000,730.41000000,1627154.39266000,1180438285.48840650,961277
1609027200000,2020-12-27 00:00:00,ETH/USDT,637.44000000,717.13000000,625.00000000,685.11000000,1859968.15029000,1247547956.82394360,1047001
1608940800000,2020-12-26 00:00:00,ETH/USDT,626.78000000,652.91000000,615.26000000,637.44000000,958585.50647000,607664782.01089470,541191
1608854400000,2020-12-25 00:00:00,ETH/USDT,612.31000000,634.24000000,604.28000000,626.82000000,798009.62915000,494089140.85723270,468979
1608768000000,2020-12-24 00:00:00,ETH/USDT,585.48000000,615.02000000,565.43000000,612.31000000,886335.86333000,519843556.98166310,571510
1608681600000,2020-12-23 00:00:00,ETH/USDT,636.41000000,638.44000000,551.28000000,585.56000000,1208807.36518000,733443630.36561180,733896
1608595200000,2020-12-22 00:00:00,ETH/USDT,607.68000000,637.73000000,588.00000000,636.45000000,918851.25654000,563872004.63349170,522945
1608508800000,2020-12-21 00:00:00,ETH/USDT,638.10000000,648.00000000,595.90000000,607.58000000,843251.16565000,524208673.90862380,521589
1608422400000,2020-12-20 00:00:00,ETH/USDT,658.05000000,661.39000000,621.01000000,638.18000000,823958.22843000,533109285.65194770,505181
1608336000000,2020-12-19 00:00:00,ETH/USDT,653.76000000,669.95000000,645.42000000,658.03000000,858803.88459000,564029933.25885230,562281
1608249600000,2020-12-18 00:00:00,ETH/USDT,642.71000000,664.61000000,629.40000000,653.85000000,1000012.98018000,646217791.22968610,554335
1608163200000,2020-12-17 00:00:00,ETH/USDT,637.18000000,676.25000000,625.76000000,642.70000000,2006130.01975000,1307445033.12182490,974504
1608076800000,2020-12-16 00:00:00,ETH/USDT,588.78000000,640.00000000,580.71000000,637.18000000,1185588.05078000,725009244.40773530,589563
1607990400000,2020-12-15 00:00:00,ETH/USDT,586.29000000,597.20000000,578.58000000,588.64000000,569270.52011000,334543178.36939210,329161
1607904000000,2020-12-14 00:00:00,ETH/USDT,590.81000000,591.48000000,575.60000000,586.29000000,493012.02706000,288110223.95248790,272746
