https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1613520000000,2021-02-17 00:00:00,QTUM/USDT,6.42400000,6.77000000,5.97100000,6.63900000,5148078.27300000,33143531.31871400,68407
1613433600000,2021-02-16 00:00:00,QTUM/USDT,6.41900000,6.80900000,6.10200000,6.42600000,4647284.60600000,30014857.23013900,63771
1613347200000,2021-02-15 00:00:00,QTUM/USDT,6.99300000,7.13000000,5.40000000,6.41200000,7677049.54200000,49126331.37748000,118089
1613260800000,2021-02-14 00:00:00,QTUM/USDT,7.71800000,7.79000000,6.76000000,6.98600000,6908698.39300000,50078685.62057100,105287
1613174400000,2021-02-13 00:00:00,QTUM/USDT,7.34300000,7.78400000,6.93400000,7.71800000,8545553.07600000,62460111.43335100,142614
1613088000000,2021-02-12 00:00:00,QTUM/USDT,7.40800000,8.23800000,6.84100000,7.34500000,23219109.02700000,170849423.34603800,317707
1613001600000,2021-02-11 00:00:00,QTUM/USDT,7.52200000,8.85000000,7.18400000,7.41100000,22059610.83600000,174550929.52123900,322956
1612915200000,2021-02-10 00:00:00,QTUM/USDT,5.01700000,7.77000000,4.98400000,7.51400000,42672218.05600000,285234758.00209200,500827
1612828800000,2021-02-09 00:00:00,QTUM/USDT,4.73600000,5.24700000,4.51800000,5.01500000,7655641.71500000,36979601.18992500,93451
1612742400000,2021-02-08 00:00:00,QTUM/USDT,4.24600000,4.81400000,4.02000000,4.73100000,10154562.76200000,45910437.33242200,117429
1612656000000,2021-02-07 00:00:00,QTUM/USDT,4.43600000,4.45000000,3.93600000,4.24600000,8655832.17800000,36503702.20103000,90921
1612569600000,2021-02-06 00:00:00,QTUM/USDT,3.85400000,4.60000000,3.64500000,4.43200000,13160142.93200000,55039579.89947900,127443
1612483200000,2021-02-05 00:00:00,QTUM/USDT,3.50600000,4.00000000,3.48300000,3.85700000,6510264.53000000,24413550.38792700,66310
1612396800000,2021-02-04 00:00:00,QTUM/USDT,3.68400000,3.73800000,3.32700000,3.50600000,5201739.83800000,18444222.08610600,51345
1612310400000,2021-02-03 00:00:00,QTUM/USDT,3.54400000,3.76700000,3.44500000,3.68300000,5229650.28000000,18849019.06350000,51350
1612224000000,2021-02-02 00:00:00,QTUM/USDT,3.46900000,3.61200000,3.35000000,3.54300000,4596385.80300000,15945678.47894600,44669
1612137600000,2021-02-01 00:00:00,QTUM/USDT,3.28000000,3.52900000,3.17200000,3.47100000,6443019.21100000,21930548.01316900,61048
1612051200000,2021-01-31 00:00:00,QTUM/USDT,3.29600000,3.54600000,3.17400000,3.28300000,5432597.69900000,18196691.56163600,52295
1611964800000,2021-01-30 00:00:00,QTUM/USDT,3.30600000,3.36000000,3.11900000,3.29700000,4094333.97800000,13307024.32523900,38907
1611878400000,2021-01-29 00:00:00,QTUM/USDT,3.27100000,3.66800000,3.23000000,3.30700000,7154764.79800000,24224338.42592000,69753
1611792000000,2021-01-28 00:00:00,QTUM/USDT,3.10900000,3.39300000,3.02100000,3.27100000,4876480.10400000,15887574.36672500,44020
1611705600000,2021-01-27 00:00:00,QTUM/USDT,3.43500000,3.45700000,3.00000000,3.11200000,5919791.23400000,19219708.06390000,51997
1611619200000,2021-01-26 00:00:00,QTUM/USDT,3.28400000,3.48600000,3.18600000,3.43400000,5201546.48600000,17390752.82135100,46400
1611532800000,2021-01-25 00:00:00,QTUM/USDT,3.54400000,3.67400000,3.25700000,3.28400000,6101649.54600000,21240603.15107100,55355
1611446400000,2021-01-24 00:00:00,QTUM/USDT,3.93700000,4.18500000,3.42600000,3.54500000,13734466.56000000,51788754.51126300,113289
1611360000000,2021-01-23 00:00:00,QTUM/USDT,2.91800000,3.99700000,2.88000000,3.93800000,19135082.35400000,66623365.22334900,135272
1611273600000,2021-01-22 00:00:00,QTUM/USDT,2.73500000,3.05400000,2.56000000,2.91800000,4503953.66300000,12655049.26508100,37440
1611187200000,2021-01-21 00:00:00,QTUM/USDT,3.23700000,3.26000000,2.67700000,2.73600000,4296529.55000000,12763658.36568300,41105
1611100800000,2021-01-20 00:00:00,QTUM/USDT,3.15700000,3.29600000,2.96500000,3.23800000,5546833.81200000,17389273.52609000,47734
1611014400000,2021-01-19 00:00:00,QTUM/USDT,3.29700000,3.42700000,3.12900000,3.16100000,5660448.30000000,18577550.89592000,49532
1610928000000,2021-01-18 00:00:00,QTUM/USDT,3.18500000,3.37300000,3.04500000,3.30100000,6621233.40400000,21519025.68039800,57398
1610841600000,2021-01-17 00:00:00,QTUM/USDT,3.05100000,3.28100000,2.85300000,3.18800000,5786627.20500000,17775214.90752200,48440
1610755200000,2021-01-16 00:00:00,QTUM/USDT,2.94300000,3.25000000,2.90000000,3.05600000,6036377.92600000,18831471.31902300,52033
1610668800000,2021-01-15 00:00:00,QTUM/USDT,3.01800000,3.21900000,2.72000000,2.94100000,6214882.31600000,18667272.00664100,52066
1610582400000,2021-01-14 00:00:00,QTUM/USDT,2.94900000,3.12000000,2.81400000,3.02100000,4506701.74600000,13290688.05205400,34789
1610496000000,2021-01-13 00:00:00,QTUM/USDT,2.75000000,3.01000000,2.67300000,2.94800000,3551906.04200000,10183701.29762900,29171
1610409600000,2021-01-12 00:00:00,QTUM/USDT,2.89900000,2.96700000,2.65800000,2.75000000,3942980.44600000,11171148.70317000,30842
1610323200000,2021-01-11 00:00:00,QTUM/USDT,3.38100000,3.48100000,2.55100000,2.89800000,8353586.92100000,24445838.14800700,81792
1610236800000,2021-01-10 00:00:00,QTUM/USDT,3.23200000,3.72000000,2.87600000,3.38300000,10191786.72000000,34469979.78567600,96784
1610150400000,2021-01-09 00:00:00,QTUM/USDT,2.86100000,3.31400000,2.77300000,3.22800000,6315252.14200000,19409892.08260200,53874
1610064000000,2021-01-08 00:00:00,QTUM/USDT,2.89400000,2.98000000,2.63000000,2.86100000,4828215.75300000,13660905.48804700,41973
1609977600000,2021-01-07 00:00:00,QTUM/USDT,3.01500000,3.17700000,2.75000000,2.89400000,6585258.87700000,19736931.50953400,61694
1609891200000,2021-01-06 00:00:00,QTUM/USDT,2.61300000,3.04500000,2.53500000,3.01300000,6488691.91300000,18165519.58154400,56682
1609804800000,2021-01-05 00:00:00,QTUM/USDT,2.51500000,2.65300000,2.38900000,2.61200000,5401551.43600000,13716331.48257000,41625
1609718400000,2021-01-04 00:00:00,QTUM/USDT,2.46500000,2.70300000,2.25400000,2.51500000,6643783.74600000,16486252.91312700,57606
1609632000000,2021-01-03 00:00:00,QTUM/USDT,2.24900000,2.49900000,2.20000000,2.46600000,3646678.16700000,8546631.96611300,28886
1609545600000,2021-01-02 00:00:00,QTUM/USDT,2.26900000,2.29100000,2.18700000,2.24900000,2480219.32100000,5559539.95512000,18295
1609459200000,2021-01-01 00:00:00,QTUM/USDT,2.22200000,2.37000000,2.19600000,2.26800000,1871044.70700000,4238535.15304300,14860
1609372800000,2020-12-31 00:00:00,QTUM/USDT,2.21500000,2.25800000,2.14200000,2.22200000,1056454.17100000,2322939.84006500,10230
1609286400000,2020-12-30 00:00:00,QTUM/USDT,2.27400000,2.29500000,2.17400000,2.21500000,1275552.50200000,2834264.61299200,11280
1609200000000,2020-12-29 00:00:00,QTUM/USDT,2.38300000,2.43800000,2.13000000,2.27100000,3093741.92600000,7002245.97584100,23511
1609113600000,2020-12-28 00:00:00,QTUM/USDT,2.27700000,2.44100000,2.25800000,2.38400000,2751944.03700000,6487493.05071600,20489
1609027200000,2020-12-27 00:00:00,QTUM/USDT,2.26300000,2.40200000,2.14300000,2.27500000,3204945.38600000,7333202.31209900,26988
1608940800000,2020-12-26 00:00:00,QTUM/USDT,2.29000000,2.30700000,2.16200000,2.26000000,1698160.80500000,3809108.54325300,14173
1608854400000,2020-12-25 00:00:00,QTUM/USDT,2.31100000,2.40400000,2.22400000,2.28800000,2423032.31700000,5579061.70438200,19691
1608768000000,2020-12-24 00:00:00,QTUM/USDT,2.09400000,2.32200000,2.01800000,2.31200000,3335098.65000000,7106940.87426200,25064
1608681600000,2020-12-23 00:00:00,QTUM/USDT,2.57300000,2.59100000,1.86400000,2.09600000,3736758.58600000,8432178.53406200,32503
1608595200000,2020-12-22 00:00:00,QTUM/USDT,2.59200000,2.62600000,2.42600000,2.57400000,1773243.01800000,4511153.05585500,15503
1608508800000,2020-12-21 00:00:00,QTUM/USDT,2.80000000,2.86600000,2.55000000,2.59200000,2225641.65600000,5966903.26342000,21722
