https://www.investing.com
blank,blank,snapped_at,price,market_cap,total_volume
blank,blank,2021-03-18 00:00:00 UTC,1.229554128644625,1827211347.2983296,2756352468.853282
blank,blank,2021-03-17 00:00:00 UTC,1.0316223052273632,1532925830.2838817,1589648696.7770553
blank,blank,2021-03-16 00:00:00 UTC,0.7620407906785605,1146407388.8847954,355697252.33511406
blank,blank,2021-03-15 00:00:00 UTC,0.7747754861829561,1162925939.169909,379680489.2720198
blank,blank,2021-03-14 00:00:00 UTC,0.81280338234287,1212720515.5584872,471260947.30575585
blank,blank,2021-03-13 00:00:00 UTC,0.7560113827840546,1123427938.7800956,380298273.16604406
blank,blank,2021-03-12 00:00:00 UTC,0.8030627989387513,1204074734.7302392,505488312.46836
blank,blank,2021-03-11 00:00:00 UTC,0.8268237642574374,1233434607.881382,852526740.9094614
blank,blank,2021-03-10 00:00:00 UTC,0.7437344061690138,1107391300.229308,378282566.10557985
blank,blank,2021-03-09 00:00:00 UTC,0.7386994153949366,1098785534.9602525,371375332.1620254
blank,blank,2021-03-08 00:00:00 UTC,0.6945028650964543,1036697026.3320782,375069041.9394289
blank,blank,2021-03-07 00:00:00 UTC,0.6678497326839862,997368657.6789049,305064711.902863
blank,blank,2021-03-06 00:00:00 UTC,0.6775949566359074,1009134109.3475938,464783911.9646755
blank,blank,2021-03-05 00:00:00 UTC,0.697438154554928,1039361812.6165991,626895666.4359059
blank,blank,2021-03-04 00:00:00 UTC,0.7729601963914415,1153572050.4257057,1277732349.604755
blank,blank,2021-03-03 00:00:00 UTC,0.6030348545553188,892496847.8735653,417772809.00665575
blank,blank,2021-03-02 00:00:00 UTC,0.5874591560010827,876834517.9382426,428790110.45916754
blank,blank,2021-03-01 00:00:00 UTC,0.5184547848019136,783598752.298994,376276297.9871238
blank,blank,2021-02-28 00:00:00 UTC,0.5185972964678255,769673110.364573,420079343.8863306
blank,blank,2021-02-27 00:00:00 UTC,0.5281641526134212,785246805.3289284,578620837.2479608
blank,blank,2021-02-26 00:00:00 UTC,0.479634171485448,723219758.9167556,344975274.78053796
blank,blank,2021-02-25 00:00:00 UTC,0.5156992301038947,769154561.7245245,481493456.5472564
blank,blank,2021-02-24 00:00:00 UTC,0.47167406140916085,698038520.0552968,526154302.59549695
blank,blank,2021-02-23 00:00:00 UTC,0.5428689179168918,804904122.9784983,520358700.3170346
blank,blank,2021-02-22 00:00:00 UTC,0.6075958436740775,905554402.4333463,408391456.4159035
blank,blank,2021-02-21 00:00:00 UTC,0.5824736574967184,848139345.5286217,423030450.3885045
blank,blank,2021-02-20 00:00:00 UTC,0.6130252079495485,909703333.6776495,447320127.0023347
blank,blank,2021-02-19 00:00:00 UTC,0.6315243594042604,935809118.9719877,443925102.6031569
blank,blank,2021-02-18 00:00:00 UTC,0.5732994311982574,855695086.4403313,390458913.2562824
blank,blank,2021-02-17 00:00:00 UTC,0.555844717179155,820770064.6456838,382854471.3287343
blank,blank,2021-02-16 00:00:00 UTC,0.5366333356815405,800112396.7191792,405721583.6457969
blank,blank,2021-02-15 00:00:00 UTC,0.5603260553893622,835098673.0751214,372081640.2352535
blank,blank,2021-02-14 00:00:00 UTC,0.6155303395718662,918402462.4823881,527712391.32484514
blank,blank,2021-02-13 00:00:00 UTC,0.6262094383148653,930925871.0051715,769009055.3966807
blank,blank,2021-02-12 00:00:00 UTC,0.5925587797705645,888272059.6855112,957432527.9836476
blank,blank,2021-02-11 00:00:00 UTC,0.4408605112483921,660505132.2645141,375398275.0827424
blank,blank,2021-02-10 00:00:00 UTC,0.43593544491537867,646734739.7141312,350234416.8425597
blank,blank,2021-02-09 00:00:00 UTC,0.4188706972922996,617300645.1921751,367328389.58423823
blank,blank,2021-02-08 00:00:00 UTC,0.40797260551513975,610270874.8874356,486332980.3705709
blank,blank,2021-02-07 00:00:00 UTC,0.3528553815902148,523709872.5430358,266552206.1408103
blank,blank,2021-02-06 00:00:00 UTC,0.3715360419250645,548331510.870576,350834885.49527746
blank,blank,2021-02-05 00:00:00 UTC,0.3117563062451171,465555394.900426,238032209.1030743
blank,blank,2021-02-04 00:00:00 UTC,0.3230173110844525,480017464.0033611,250127993.67429352
blank,blank,2021-02-03 00:00:00 UTC,0.3164618771270598,471195642.3251068,237918815.54862335
blank,blank,2021-02-02 00:00:00 UTC,0.31505336890729957,464898903.2197361,235115959.13473147
blank,blank,2021-02-01 00:00:00 UTC,0.3015097043556846,448342107.2112523,200914183.83419836
blank,blank,2021-01-31 00:00:00 UTC,0.3134543849785605,464659501.2552642,225133611.25101092
blank,blank,2021-01-30 00:00:00 UTC,0.3086336993405381,459283108.08666515,271635787.6236304
blank,blank,2021-01-29 00:00:00 UTC,0.3071598974431287,455210542.07306814,256821605.2463045
blank,blank,2021-01-28 00:00:00 UTC,0.30547040704832895,450923179.1704327,236161240.67763954
blank,blank,2021-01-27 00:00:00 UTC,0.29812485170943115,442467514.47790825,233375716.57228082
blank,blank,2021-01-26 00:00:00 UTC,0.3009038600930541,444454823.5716507,255780573.9093113
blank,blank,2021-01-25 00:00:00 UTC,0.31964517898368733,474319413.78679377,310103836.410812
blank,blank,2021-01-24 00:00:00 UTC,0.3295067024070672,488756193.644432,484610849.33079547
blank,blank,2021-01-23 00:00:00 UTC,0.3149324553491689,462484226.4045426,638350282.0215563
blank,blank,2021-01-22 00:00:00 UTC,0.24521351941654781,363357041.23967534,195399606.95281455
blank,blank,2021-01-21 00:00:00 UTC,0.2789060480190621,412930400.5863957,241645501.690062
