balance,n_barrels,estimated_total_balance,buy_or_sell_ratio,price
1000,0,1000,0,90.99
1000.0,0.0,1000.0,-0.013536911097454451,91.48
791.9891871529823,2.2825722906509136,1000.0,0.20801081284701775,91.13
801.349806379033,2.17839177617066,997.0783074679669,-0.04564171522933212,89.85
779.4963215535481,2.4175413146417135,1000.4112468855079,0.027270843084409892,91.38
785.524222366576,2.351727352276521,1000.9189305615827,-0.027223510914412795,91.59
806.0893186333567,2.121666984598027,995.7451303865744,-0.09782612234185689,89.39
668.5727846846415,3.6445521889027352,997.6758473425585,0.17059714199148626,90.3
437.55674561649425,6.258742967087043,990.6418616179762,0.3455361096953939,88.37
540.0345855579599,5.0951476458486455,988.76423872785,-0.18591517935109586,88.07
522.5739747827645,5.2908066639481,994.7255614734929,0.032332393595041996,89.24
550.0301363810348,4.989454873823303,1004.619369935076,-0.056957626552152835,91.11
428.92038246312035,6.308015068901305,1008.3115665417051,0.22018748775251717,91.85
410.27702727299345,6.512012827847874,1005.4098796100106,0.043465771160292016,91.39
331.8880855717946,7.3684417768394495,1006.3215614059094,0.19106344369859102,91.53
379.30184357187557,6.849578152413088,1005.2162951393835,-0.07041700811930938,91.38
278.5080395123574,7.959031141510701,1001.5860187186046,0.2657350755544596,90.85
191.80820307981753,8.938026584515894,983.3598374045451,0.31130101875817845,88.56
332.1554982835046,7.34714815327936,980.3209083658097,-0.17798989700842335,88.22
365.62885801810853,6.96124361402868,969.4471290989562,-0.05252439874625819,86.74
355.58555912073706,7.079288970133187,957.8914646996686,0.027468561841128114,85.08
400.17949187614084,6.561657713541153,965.4663038977112,-0.07311910260703709,86.15
325.9493995329965,7.440640452950795,954.3114857846912,0.1854919950923402,84.45
454.8654542423443,5.978178119322346,981.8418554606092,-0.1965505984163592,88.15
412.0276316005372,6.448975159016896,998.8198813194845,0.09417690933060806,90.99
375.1909652316634,6.860374157999181,989.4688673389102,0.08940338837417357,89.54
405.42061088987543,6.523666142202656,991.11535713683,-0.04908012420924946,89.78
252.35109453364313,8.235470172131444,988.766837325637,0.3775573126887982,89.42
234.90083431473184,8.434061957939017,976.0018585588333,0.0691507213438492,87.87
399.90295276017434,6.5221023004020235,962.7603812848689,-0.2266949978636637,86.3
280.3627367076274,7.9145334716605795,959.8254352496881,0.2989230642771383,85.85
359.01621429112924,6.995577079751456,957.7676565470564,-0.11610998869353616,85.59
553.5063333544944,4.71924141655664,956.7183199850937,-0.32539640936608644,85.44
363.41840833307026,6.971734899450633,951.7631164977091,0.3434250225637108,84.39
357.9670502567304,7.036895765770737,946.6737500211102,0.015000225501355888,83.66
234.40636457710855,8.523250699965635,942.9441952652518,0.3451733493096791,83.13
163.19048555569935,9.373082191867892,948.6547732342287,0.3038137601335589,83.8
158.68925613126632,9.426006700091678,960.3711259740635,0.027582670699859507,85.05
229.08818765303528,8.59807618707546,960.1826058400616,-0.08783470448924728,85.03
210.64141153431513,8.797177926079454,1025.6999463855766,0.08052259833954714,92.65
279.4267774578319,8.08096212096162,1055.522379554986,-0.08141426843199279,96.04
403.4054463794652,6.78722666315474,1053.825377509584,-0.1600967110650096,95.83
319.16952504912285,7.6599568882929745,1058.5085639071608,0.20881205766147606,96.52
279.14244398185224,8.07218223399092,1062.9513389023705,0.12541009691044322,97.1
165.65432066653273,9.211278121929489,1083.3739599543678,0.40655989714949137,99.63
110.78381367123879,9.747804053241643,1107.6917341962615,0.33123498846583044,102.27
97.497291287845,9.87816632152455,1104.280002777627,0.11993198232751554,101.92
77.93873574157783,10.065616537609149,1128.1851652757164,0.20060614287758724,104.34
71.48656498509001,10.126850007823515,1138.552750309454,0.08278516061488789,105.37
171.00720608065654,9.179575677958995,1135.4134268070286,-0.09354086701518262,105.06
244.40900474123816,8.476425963804559,1129.263111102796,-0.07659937003872234,104.39
270.84094550852404,8.219130716386221,1115.1922440028807,-0.030354213971433487,102.73
500.64731802880806,5.946969627595594,1102.1238261638264,-0.27644785892754953,101.14
494.45583139198584,6.008150325587908,1102.4806443414823,0.012366962557993667,101.2
600.0499612053368,4.922126158012562,1078.6282875488982,-0.1807584878411106,97.23
481.22021492776287,6.134798331474894,1082.3691034289877,0.19803308717640336,97.99
369.6480974060504,7.234356008834827,1103.7182016225202,0.23185251587666741,101.47
301.5715954653337,7.907980607496183,1100.752115658898,0.1841657035933182,101.06
295.97049921719974,7.962700187880454,1111.0324904486429,0.018573023230159687,102.36
186.50241032631791,9.00994106505334,1128.3115498563436,0.36986148680496705,104.53
182.02629453341393,9.052485650101378,1134.4383097805799,0.02400031069342352,105.21
337.2991768036952,7.5742594289448535,1132.8993872200626,-0.1632950637309179,105.04
331.75337287719213,7.627131999509284,1131.763248305721,0.01644179502320781,104.89
248.32324189421865,8.43290881023918,1121.4666201063833,0.25148238964207154,103.54
253.7435487225219,8.380960306996863,1128.2129471545747,-0.006160211667324131,104.34
167.28041497383134,9.213938474132611,1123.6872285887964,0.34075007693394105,103.8
186.6948146630025,9.03111146886685,1145.7085415419733,-0.019842438255804815,106.19
309.84935656802213,7.886020423724873,1157.9908531396322,-0.1267940329481565,107.55
332.58580170828606,7.675770329955094,1162.6436051896299,-0.026661114538487334,108.14
245.96507229326045,8.47915309210521,1160.1873586840443,0.26044626370130325,107.82
353.2451781121565,7.489301589808697,1164.9356844156232,-0.11673943040586758,108.38
285.03500814907306,8.110410403896145,1175.7202787049478,0.19309582745790932,109.82
262.5415686924012,8.310761695039565,1195.5907841944932,0.07891465544087765,112.27
